|----------------------------------------------------------|
|RESULTADO = {21 25 33 41 47 53}                           |
|----------------------------------------------------------|
|   0046   |{04 15 29 34 44 51}                  |    0    |
|   0047   |{05 11 22 39 44 55}                  |    0    |
|   0048   |{01 11 15 23 34 36 43 56 58}         |    0    |
|   0049   |{09 12 23 36 45 49 58}               |    0    |
|   0050   |{02 15 27 32 37 54 58}               |    0    |
|   0051   |{08 15 19 28 35 39 46 55}            |    0    |
|   0052   |{02 11 18 24 29 41 49 51 59}         |    1    |
|   0053   |{05 09 19 24 33 41 44 56 57}         |    2    |
|   0054   |{07 10 17 26 31 36 46 55 58}         |    0    |
|   0055   |{05 10 15 24 30 36 49 51 57}         |    0    |
|   0056   |{04 10 18 24 29 36 38 44 50 56}      |    0    |
|   0057   |{01 12 18 22 26 36 39 46 54 57}      |    0    |
|   0058   |{06 09 17 24 33 36 46 54 57}         |    1    |
|   0059   |{05 15 20 27 31 41 45 58}            |    1    |
|   0060   |{07 12 23 31 41 49 60}               |    1    |
|   0061   |{06 11 22 33 45 52 57}               |    1    |
|   0062   |{05 18 24 35 45 52 60}               |    0    |
|   0063   |{07 12 26 38 44 58}                  |    0    |
|   0064   |{07 14 22 36 45 49 56}               |    0    |
|   0065   |{06 13 17 28 32 37 48 50 58}         |    0    |
|   0066   |{05 11 20 35 39 46 60}               |    0    |
|   0067   |{07 11 30 32 41 53}                  |    2    |
|   0068   |{05 18 26 40 48 59}                  |    0    |
|   0069   |{04 09 21 22 32 36 44 56 58}         |    1    |
|   0070   |{08 14 22 23 35 42 44 57}            |    0    |
|   0071   |{06 07 18 24 29 36 39 45 52 56}      |    0    |
|   0072   |{03 16 29 37 41 54}                  |    1    |
|   0073   |{04 07 15 22 26 33 42 48 54 56}      |    1    |
|   0074   |{07 18 28 33 42 55}                  |    1    |
|   0075   |{08 14 22 27 31 39 45 55}            |    0    |
|   0076   |{05 10 18 27 33 38 49 57}            |    1    |
|   0077   |{04 09 19 25 33 36 46 52 57}         |    2    |
|   0078   |{03 12 15 24 32 40 43 52 58}         |    0    |
|   0079   |{01 18 24 36 40 46 55}               |    0    |
|   0080   |{06 13 23 35 44 59}                  |    0    |
|   0081   |{03 09 16 24 27 32 37 43 54 60}      |    0    |
|   0082   |{05 09 18 19 28 35 42 45 52 55}      |    0    |
|   0083   |{02 18 23 30 38 49 60}               |    0    |
|   0084   |{03 14 19 27 31 43 47 52}            |    1    |
|   0085   |{06 13 19 29 33 37 50 54}            |    1    |
|   0086   |{03 13 21 23 32 40 45 52}            |    1    |
|   0087   |{01 09 13 19 29 34 39 44 54 56}      |    0    |
|   0088   |{08 11 20 24 30 42 49 51}            |    0    |
|   0089   |{08 14 28 39 41 60}                  |    1    |
|   0090   |{05 11 20 25 29 40 44 51 57}         |    1    |
|   0091   |{02 13 21 38 46 55}                  |    1    |
|   0092   |{08 15 20 36 37 48 56}               |    0    |
|   0093   |{01 13 16 23 33 37 48 56}            |    1    |
|   0094   |{06 10 17 26 31 42 44 59}            |    0    |
|   0095   |{06 08 20 22 33 42 44 53 58}         |    2    |
|   0096   |{02 15 27 29 38 49 57}               |    0    |
|   0097   |{03 11 30 38 47 53}                  |    2    |
|   0098   |{01 19 28 32 48 58}                  |    0    |
|   0099   |{04 12 29 32 43 58}                  |    0    |
|   0100   |{02 10 18 22 33 42 47 54 60}         |    2    |
|   0101   |{08 10 20 30 38 53 58}               |    1    |
|   0102   |{03 12 21 28 29 39 49 55 57}         |    1    |
|   0103   |{04 14 15 26 32 39 49 53 58}         |    1    |
|   0104   |{06 09 13 19 25 34 40 46 52 57}      |    1    |
|   0105   |{02 11 29 35 44 53}                  |    1    |
|   0106   |{06 15 24 39 45 55}                  |    0    |
|   0107   |{02 11 14 23 26 35 42 43 52 59}      |    0    |
|   0108   |{03 07 14 24 27 33 41 48 52 60}      |    2    |
|   0109   |{06 13 21 25 36 41 49 58}            |    3    |
|   0110   |{08 11 21 38 41 59}                  |    2    |
|   0111   |{05 13 25 31 47 56}                  |    2    |
|   0112   |{06 11 24 35 41 49 57}               |    1    |
|   0113   |{08 12 16 28 31 39 44 52}            |    0    |
|   0114   |{06 12 14 21 29 33 38 45 53 58}      |    3    |
|   0115   |{06 15 27 36 40 51 56}               |    0    |
|   0116   |{08 10 17 25 32 40 49 60}            |    1    |
|   0117   |{06 12 17 29 33 37 44 53}            |    2    |
|   0118   |{07 15 20 23 35 40 47 59}            |    1    |
|   0119   |{05 10 15 23 28 32 37 45 53 59}      |    1    |
|   0120   |{03 15 19 33 37 52 58}               |    1    |
|   0121   |{07 10 21 25 30 43 47 58}            |    3    |
|   0122   |{05 08 20 28 29 36 44 52 60}         |    0    |
|   0123   |{02 14 20 25 36 42 45 52}            |    1    |
|   0124   |{01 12 14 23 27 33 38 47 52 58}      |    2    |
|   0125   |{10 15 27 35 49 59}                  |    0    |
|   0126   |{06 15 26 35 38 49 60}               |    0    |
|   0127   |{05 09 16 21 25 33 37 48 54 59}      |    3    |
|   0128   |{03 12 15 20 27 33 37 48 53 60}      |    2    |
|   0129   |{02 11 20 25 30 41 44 59}            |    2    |
|   0130   |{03 13 19 28 30 38 50 51}            |    0    |
|   0131   |{06 11 21 22 33 39 45 51 59}         |    2    |
|   0132   |{03 11 18 27 33 41 45 52 60}         |    2    |
|   0133   |{02 17 23 36 44 51 55}               |    0    |
|   0134   |{03 12 17 26 35 42 49 55}            |    0    |
|   0135   |{06 16 23 35 43 50 59}               |    0    |
